genres,movie_id,budget,title,popularity,release_date,revenue,ROI,Director
Thriller,4836,6500000,Layer Cake,9.642214,9/30/2004,11850214.0,82.31098461538463,Matthew Vaughn
Crime,4836,6500000,Layer Cake,9.642214,9/30/2004,11850214.0,82.31098461538463,Matthew Vaughn
Action,11866,45000000,Flight of the Phoenix,15.434731,12/17/2004,21009180.0,-53.31293333333333,John Moore
Adventure,11866,45000000,Flight of the Phoenix,15.434731,12/17/2004,21009180.0,-53.31293333333333,John Moore
Drama,11866,45000000,Flight of the Phoenix,15.434731,12/17/2004,21009180.0,-53.31293333333333,John Moore
Thriller,11866,45000000,Flight of the Phoenix,15.434731,12/17/2004,21009180.0,-53.31293333333333,John Moore
Crime,12281,500000,Mean Creek,12.428269,1/15/2004,603943.0,20.7886,Jacob Aaron Estes
Drama,12281,500000,Mean Creek,12.428269,1/15/2004,603943.0,20.7886,Jacob Aaron Estes
Drama,10320,50000000,The Ring Two,16.15818,3/17/2005,161451538.0,222.903076,Hideo Nakata
Horror,10320,50000000,The Ring Two,16.15818,3/17/2005,161451538.0,222.903076,Hideo Nakata
Thriller,10320,50000000,The Ring Two,16.15818,3/17/2005,161451538.0,222.903076,Hideo Nakata
Drama,30973,10000000,The Visual Bible: The Gospel of John,1.551648,9/11/2003,4069090.0,-59.3091,Philip Saville
History,30973,10000000,The Visual Bible: The Gospel of John,1.551648,9/11/2003,4069090.0,-59.3091,Philip Saville
Action,62276,700000,Bummer,1.400186,8/2/2003,1600000.0,128.57142857142858,Pyotr Buslov
Crime,62276,700000,Bummer,1.400186,8/2/2003,1600000.0,128.57142857142858,Pyotr Buslov
Comedy,20912,8000000,She Hate Me,5.126696,7/30/2004,365134.0,-95.435825,Spike Lee
Drama,20912,8000000,She Hate Me,5.126696,7/30/2004,365134.0,-95.435825,Spike Lee
Documentary,1392,350000,Born into Brothels,2.96237,12/8/2004,3515061.0,904.3031428571428,Zana Briski
Documentary,291,2600000,Riding Giants,2.203949,7/9/2004,3166000.0,21.76923076923077,Stacy Peralta
Animation,3509,8700000,A Scanner Darkly,11.643026,5/25/2006,7659918.0,-11.95496551724138,Richard Linklater
Science Fiction,3509,8700000,A Scanner Darkly,11.643026,5/25/2006,7659918.0,-11.95496551724138,Richard Linklater
Thriller,3509,8700000,A Scanner Darkly,11.643026,5/25/2006,7659918.0,-11.95496551724138,Richard Linklater
Drama,11662,6000000,Casshern,4.664474,4/24/2004,1530216.0,-74.4964,Kazuaki Kiriya
Horror,11662,6000000,Casshern,4.664474,4/24/2004,1530216.0,-74.4964,Kazuaki Kiriya
Science Fiction,11662,6000000,Casshern,4.664474,4/24/2004,1530216.0,-74.4964,Kazuaki Kiriya
Drama,70,30000000,Million Dollar Baby,14.471373,12/15/2004,216763646.0,622.5454866666666,Clint Eastwood
Drama,205,17500000,Hotel Rwanda,10.262332,9/11/2004,38000000.0,117.14285714285715,Terry George
History,205,17500000,Hotel Rwanda,10.262332,9/11/2004,38000000.0,117.14285714285715,Terry George
War,205,17500000,Hotel Rwanda,10.262332,9/11/2004,38000000.0,117.14285714285715,Terry George
Adventure,118,150000000,Charlie and the Chocolate Factory,22.038405,7/13/2005,474968763.0,216.64584200000002,Tim Burton
