genres,movie_id,budget,title,popularity,release_date,revenue,ROI,Director
Adventure,11451,50000000,Herbie Fully Loaded,9.35239,6/22/2005,66002004.0,32.004008,Angela Robinson
Fantasy,11451,50000000,Herbie Fully Loaded,9.35239,6/22/2005,66002004.0,32.004008,Angela Robinson
Romance,11451,50000000,Herbie Fully Loaded,9.35239,6/22/2005,66002004.0,32.004008,Angela Robinson
Horror,11683,15000000,Land of the Dead,9.478117,6/24/2005,46770602.0,211.80401333333333,George A. Romero
Comedy,9722,85000000,Bewitched,9.276085,6/21/2005,131426169.0,54.61902235294117,Nora Ephron
Fantasy,9722,85000000,Bewitched,9.276085,6/21/2005,131426169.0,54.61902235294117,Nora Ephron
Romance,9722,85000000,Bewitched,9.276085,6/21/2005,131426169.0,54.61902235294117,Nora Ephron
Drama,28000,1920000,Somebody Up There Likes Me,2.747776,7/3/1956,3360000.0,75.0,Robert Wise
Drama,38731,2515000,An Unmarried Woman,1.148295,5/26/1978,24000000.0,854.2743538767395,Paul Mazursky
Romance,38731,2515000,An Unmarried Woman,1.148295,5/26/1978,24000000.0,854.2743538767395,Paul Mazursky
Comedy,38731,2515000,An Unmarried Woman,1.148295,5/26/1978,24000000.0,854.2743538767395,Paul Mazursky
Adventure,74,132000000,War of the Worlds,19.929377,6/28/2005,591739379.0,348.28740833333336,Steven Spielberg
Thriller,74,132000000,War of the Worlds,19.929377,6/28/2005,591739379.0,348.28740833333336,Steven Spielberg
Science Fiction,74,132000000,War of the Worlds,19.929377,6/28/2005,591739379.0,348.28740833333336,Steven Spielberg
Documentary,1667,8000000,March of the Penguins,9.435123,1/26/2005,127392239.0,1492.4029875,Luc Jacquet
Family,1667,8000000,March of the Penguins,9.435123,1/26/2005,127392239.0,1492.4029875,Luc Jacquet
Comedy,7233,45000000,Rebound,4.373457,7/1/2005,16809014.0,-62.646635555555555,Steve Carr
Family,7233,45000000,Rebound,4.373457,7/1/2005,16809014.0,-62.646635555555555,Steve Carr
Drama,9009,30000000,Dark Water,6.53565,6/27/2005,25473093.0,-15.089690000000001,Walter Salles
Horror,9009,30000000,Dark Water,6.53565,6/27/2005,25473093.0,-15.089690000000001,Walter Salles
Thriller,9009,30000000,Dark Water,6.53565,6/27/2005,25473093.0,-15.089690000000001,Walter Salles
Action,9738,100000000,Fantastic Four,19.382082,6/29/2005,330579719.0,230.57971899999998,Tim Story
Adventure,9738,100000000,Fantastic Four,19.382082,6/29/2005,330579719.0,230.57971899999998,Tim Story
Fantasy,9738,100000000,Fantastic Four,19.382082,6/29/2005,330579719.0,230.57971899999998,Tim Story
Science Fiction,9738,100000000,Fantastic Four,19.382082,6/29/2005,330579719.0,230.57971899999998,Tim Story
Documentary,14278,300000,Murderball,1.687901,7/22/2005,1750211.0,483.4036666666667,Henry Alex Rubin
Comedy,9522,40000000,Wedding Crashers,11.100597,7/14/2005,285176741.0,612.9418525,David Dobkin
Romance,9522,40000000,Wedding Crashers,11.100597,7/14/2005,285176741.0,612.9418525,David Dobkin
Comedy,1826,13000000,Russian Dolls,6.361343,6/15/2005,23727301.0,82.5177,Cédric Klapisch
Drama,1826,13000000,Russian Dolls,6.361343,6/15/2005,23727301.0,82.5177,Cédric Klapisch
Romance,1826,13000000,Russian Dolls,6.361343,6/15/2005,23727301.0,82.5177,Cédric Klapisch
Drama,10476,8000000,Hustle & Flow,7.422267,7/22/2005,23563727.0,194.5465875,Craig Brewer
Horror,11309,1500000,Hardware,6.026159,9/14/1990,5728953.0,281.9302,Richard Stanley
Science Fiction,11309,1500000,Hardware,6.026159,9/14/1990,5728953.0,281.9302,Richard Stanley
Thriller,11309,1500000,Hardware,6.026159,9/14/1990,5728953.0,281.9302,Richard Stanley
Action,1635,126000000,The Island,11.443647,7/20/2005,162949164.0,29.324733333333334,Michael Bay
Thriller,1635,126000000,The Island,11.443647,7/20/2005,162949164.0,29.324733333333334,Michael Bay
Science Fiction,1635,126000000,The Island,11.443647,7/20/2005,162949164.0,29.324733333333334,Michael Bay
Adventure,1635,126000000,The Island,11.443647,7/20/2005,162949164.0,29.324733333333334,Michael Bay
Comedy,13341,30000000,Bad News Bears,4.469459,7/22/2005,34252847.0,14.176156666666667,Richard Linklater
Family,13341,30000000,Bad News Bears,4.469459,7/22/2005,34252847.0,14.176156666666667,Richard Linklater
Adventure,11459,35000000,Sky High,8.061423,7/29/2005,86369815.0,146.77089999999998,Mike Mitchell
Comedy,11459,35000000,Sky High,8.061423,7/29/2005,86369815.0,146.77089999999998,Mike Mitchell
Family,11459,35000000,Sky High,8.061423,7/29/2005,86369815.0,146.77089999999998,Mike Mitchell
